igi.event,daten,focal,rival,n.adults,mean.age
85,38159,1H,4B,30,991.1
86,38163,1B,11,28,1081.321429
87,38179,1K,1B,11,1393.909091
88,38206,4B,1H,26,1183.769231
89,38207,1N,2,7,663.4285714
90,38208,2,1N,31,1042.451613
91,38209,1B,12,20,1290.3
92,38211,1B,2,20,1292.3
93,38212,1B,1N,20,1293.3
94,38219,1N,2,7,675.4285714
95,38222,2,1N,32,1046.25
96,38223,4B,11,25,1230.56
97,38226,1N,2,7,682.4285714
98,38226,1N,2,7,682.4285714
99,38229,2,1N,32,1053.25
100,38229,1B,1N,20,1310.3
101,38230,1B,1K,20,1311.3
102,38231,1N,1B,7,687.4285714
103,38232,1N,1B,7,688.4285714
104,38232,1B,2,20,1313.3
105,38232,2,1N,33,1046.363636
106,38232,1B,1N,20,1313.3
107,38239,11,1N,17,1492.705882
108,38239,1N,1H,7,695.4285714
109,38242,2,1B,33,1056.363636
110,38242,12,1N,8,1017.5
111,38244,1N,2,7,700.4285714
112,38246,1B,11,20,1327.3
113,38246,1B,2,20,1327.3
114,38246,2,1N,33,1060.363636
115,38246,12,1B,8,1021.5
116,38246,1B,1N,20,1327.3
117,38254,1B,1N,20,1335.3
118,38254,1B,2,20,1335.3
119,38257,1H,12,28,1040.821429
120,38257,2,1B,33,1071.363636
121,38257,2,1N,33,1071.363636
122,38258,1N,1B,7,714.4285714
123,38258,11,4B,17,1511.705882
124,38258,1N,2,7,714.4285714
125,38259,2,1N,33,1073.363636
126,38261,7A,1H,10,1024.8
127,38262,12,1H,8,1037.5
128,38262,1H,4B,28,1045.821429
129,38264,1N,2,7,720.4285714
130,38264,2,1B,33,1078.363636
131,38278,1N,1B,7,734.4285714
132,38280,2,1B,33,1094.363636
133,38286,1N,2,7,742.4285714
134,38296,1B,12,30,979.0666667
135,38301,1N,11,7,757.4285714
136,38317,1B,2,30,1000.066667
137,38320,2,1B,33,1134.363636
138,38320,1N,1B,6,739.3333333
139,38320,1N,2,6,739.3333333
140,38321,2,1N,33,1135.363636
141,38321,1N,1B,6,740.3333333
142,38322,1B,1N,30,1005.066667
143,38326,1N,1B,6,745.3333333
144,38327,11,1N,20,1345.8
145,38339,1B,2,31,995.3225806
146,38352,2,1B,35,1091.942857
147,38352,2,1B,35,1091.942857
148,38358,1B,2,30,1020.4
149,38364,1N,2,6,783.3333333
150,38386,2,11,35,1125.942857
151,38390,1B,1N,28,1014.964286
152,38399,1N,2,6,818.3333333
153,38400,1N,11,6,819.3333333
154,38401,2,1B,36,1114.361111
155,38411,2,1N,36,1124.361111
156,38412,1H,11,23,975.1304348
157,38416,1K,1B,15,889.6
158,38421,12,1H,9,805.4444444
159,38421,12,1H,9,805.4444444
160,38435,11,4B,20,1453.8
161,38437,1B,2,27,1041.703704
162,38437,2,1N,36,1150.361111
163,38440,12,1B,9,824.4444444
164,38441,11,1H,20,1459.8
165,38443,1H,7A,23,1006.130435
166,38443,1B,12,27,1047.703704
167,38444,1N,2,5,852.4
168,38457,12,1B,9,841.4444444
169,38461,1B,12,27,1065.703704
170,38464,1B,2,27,1068.703704
171,38466,1N,1B,5,874.4
172,38467,2,1N,36,1180.361111
173,38467,1H,1B,23,1030.130435
174,38468,1N,1B,5,876.4
175,38486,12,1H,8,940.5
176,38487,1N,1B,5,895.4
177,38487,2,1B,43,1087.581395
178,38491,1B,1N,26,1121.769231
179,38496,2,1N,43,1096.581395
180,38497,12,1B,8,951.5
181,38509,1H,7A,23,1072.130435
182,38517,2,1N,43,1117.581395
183,38520,2,1B,43,1120.581395
184,38520,12,1B,7,985.4285714
185,38527,1B,2,26,1157.769231
186,38528,1B,12,26,1158.769231
187,38530,11,1N,23,1190.913043
188,38530,11,2,23,1190.913043
189,38531,1B,1N,26,1161.769231
190,38534,1B,2,26,1164.769231
191,38542,1B,2,26,1172.769231
192,38544,1B,12,26,1174.769231
193,38544,1B,2,26,1174.769231
194,38552,1N,2,5,960.4
195,38553,1B,2,26,1183.769231
196,38553,1B,2,26,1183.769231
197,38553,1N,2,5,961.4
198,38557,11,4B,26,1100.230769
199,38562,1B,1K,26,1192.769231
200,38568,1N,2,5,976.4
201,38574,2,1N,42,1182.880952
202,38574,12,1K,6,1146.333333
203,38579,2,1B,42,1187.880952
204,38583,2,1B,42,1191.880952
205,38583,7A,1H,16,774.5625
